birth rate,cases,discharge,death,total case
1,7,26,0,9212
1.01,16,23,0,9219
1.05,5,7,0,9235
1.06,9,13,0,9240
1.07,8,4,0,9249
1.05,10,10,0,9257
1.04,7,6,0,9267
1.04,11,6,0,9274
1.04,6,7,0,9285
1.06,5,16,0,9291
1.08,10,36,0,9296
1.09,11,8,0,9306
1.09,17,10,1,9317
1.07,6,6,1,9334
1.03,14,21,1,9340
1,6,4,0,9354
0.98,14,4,0,9360
0.96,11,9,0,9374
0.96,6,21,0,9385
0.96,6,2,0,9391
0.98,62,9,0,9397
0.99,100,12,0,9459
1.02,24,7,0,9559
1.04,45,24,0,9583
1.08,182,14,0,9628
1.13,58,8,0,9810
1.19,47,7,0,9868
1.24,31,7,0,9915
1.28,23,6,0,9946
1.34,62,26,0,9969
1.4,21,15,0,10031
1.48,95,14,1,10052
1.57,20,51,1,10147
1.67,52,40,0,10167
1.8,57,40,0,10219
1.97,82,168,0,10276
2.02,147,39,3,10358
1.95,71,64,0,10505
1.93,111,30,0,10576
1.91,82,89,0,10687
1.78,150,50,1,10769
1.68,115,54,0,10919
1.59,101,50,0,11034
1.54,89,28,2,11135
1.51,260,47,0,11224
1.49,287,81,0,11484
1.49,317,121,1,11771
1.48,293,67,0,12088
1.49,432,57,0,12381
1.52,691,87,4,12813
1.55,489,74,0,13504
1.58,375,18,5,13993
1.58,354,188,6,14368
1.59,374,73,3,14722
1.6,561,133,2,15096
1.62,563,109,2,15657
1.63,660,350,4,16220
1.65,660,233,4,16880
1.69,589,409,3,17540
1.75,629,245,6,18129
1.77,869,302,4,18758
1.78,871,701,7,19627
1.77,865,455,3,20498
1.77,862,634,3,21363
1.75,732,580,6,22225
1.7,847,486,5,22957
1.64,710,467,10,23804
1.6,1228,671,7,24514
1.57,823,579,8,25742
1.55,1240,691,7,26565
1.53,835,674,2,27805
1.52,771,573,8,28640
1.49,679,685,0,29441
1.47,809,491,3,30090
1.45,649,1000,0,30889
1.43,957,972,0,31548
1.41,834,900,2,32505
1.39,1054,875,12,33339
1.36,1032,820,8,34393
1.33,1009,839,6,35425
1.31,1755,726,2,36434
1.29,1168,1029,3,38189
1.28,852,825,4,39357
1.25,972,1345,8,40209
1.23,869,725,6,41181
1.2,822,769,2,42050
1.18,919,996,1,42872
1.16,1304,900,1,43791
1.15,1114,803,2,45095
1.15,1208,1013,3,46209
1.15,1103,821,4,47417
1.15,1210,1018,5,48520
1.16,660,630,4,49730
1.16,1290,878,4,50390
1.16,958,956,3,51680
1.16,1041,1405,3,52638
1.14,1096,1104,3,53679
1.12,1884,883,2,54775
1.1,2188,1673,4,56659
1.09,970,2348,4,58847
1.09,935,2555,3,59817
1.09,1109,1148,2,60752
1.1,1315,1110,4,61861
1.1,1309,1333,3,63176
1.09,1212,2112,3,64485
1.09,1472,1552,3,65697
1.09,851,658,2,67169
1.08,1075,948,11,68020
1.09,1141,1144,0,69095
1.09,1123,1143,4,70236
1.1,1335,1069,2,71359
1.11,1600,1033,2,72694
1.12,1012,1750,4,74294
1.12,959,1068,5,75306
1.09,2234,1112,3,76265
1.07,1810,937,6,78499
1.07,1937,911,9,80309
1.06,1229,1309,4,82246
1.06,1371,1204,4,83475
1.06,1772,1084,3,84846
1.05,1295,1052,7,86618
1.04,1220,1297,3,87913
1.05,1683,1214,0,89133
1.05,1153,998,1,90816
1.06,1340,1067,4,91969
1.08,2018,1084,1,93309
1.08,2062,911,1,95327
1.09,1348,710,5,97389
1.1,1581,1085,2,98737
1.12,1247,1441,3,100318
1.12,2335,874,2,101565
1.11,1196,997,1,103900
1.1,1594,1181,3,105096
1.09,1925,1123,2,106690
1.08,1870,745,6,108615
1.07,2525,1481,8,110485
1.07,2068,2230,3,113010
1.07,2295,3321,9,115078
1.07,1704,2726,11,117373
1.08,1741,1010,7,119077
1.09,2027,1221,8,120818
1.09,2593,1129,4,122845
1.08,3027,2145,8,125438
1.08,2643,2708,16,128465
1.08,2451,1401,5,131108
1.08,2433,1277,9,133559
1.08,2232,1006,4,135992
,,,,
,,,,
,,,,
