,birth rate,cases,discharge,death,total case,test rate
17-08-20,1,7,26,0,9212,1109412.949
18-08-20,1.01,16,23,0,9219,1117937.421
19-08-20,1.05,5,7,0,9235,1126527.394
20-08-20,1.06,9,13,0,9240,1135183.369
21-08-20,1.07,8,4,0,9249,1143905.855
22-08-20,1.05,10,10,0,9257,1152695.362
23-08-20,1.04,7,6,0,9267,1161552.406
24-08-20,1.04,11,6,0,9274,1170477.506
25-08-20,1.04,6,7,0,9285,1179471.184
26-08-20,1.06,5,16,0,9291,1188533.967
27-08-20,1.08,10,36,0,9296,1197666.387
28-08-20,1.09,11,8,0,9306,1206868.978
29-08-20,1.09,17,10,1,9317,1216142.279
30-08-20,1.07,6,6,1,9334,1225486.835
31-08-20,1.03,14,21,1,9340,1234903.192
01-09-20,1,6,4,0,9354,1244391.902
02-09-20,0.98,14,4,0,9360,1253953.521
03-09-20,0.96,11,9,0,9374,1263588.609
04-09-20,0.96,6,21,0,9385,1273297.731
05-09-20,0.96,6,2,0,9391,1283081.456
06-09-20,0.98,62,9,0,9397,1292940.356
07-09-20,0.99,100,12,0,9459,1302875.01
08-09-20,1.02,24,7,0,9559,1312886
09-09-20,1.04,45,24,0,9583,1323654.019
10-09-20,1.08,182,14,0,9628,1334510.355
11-09-20,1.13,58,8,0,9810,1345455.732
12-09-20,1.19,47,7,0,9868,1356490.881
13-09-20,1.24,31,7,0,9915,1367616.538
14-09-20,1.28,23,6,0,9946,1378833.446
15-09-20,1.34,62,26,0,9969,1390142.352
16-09-20,1.4,21,15,0,10031,1401544.011
17-09-20,1.48,95,14,1,10052,1413039.185
18-09-20,1.57,20,51,1,10147,1424628.639
19-09-20,1.67,52,40,0,10167,1436313.148
20-09-20,1.8,57,40,0,10219,1448093.491
21-09-20,1.97,82,168,0,10276,1459970.454
22-09-20,2.02,147,39,3,10358,1471944.829
23-09-20,1.95,71,64,0,10505,1484017.415
24-09-20,1.93,111,30,0,10576,1496189.019
25-09-20,1.91,82,89,0,10687,1508460.451
26-09-20,1.78,150,50,1,10769,1520832.531
27-09-20,1.68,115,54,0,10919,1533306.084
28-09-20,1.59,101,50,0,11034,1545881.943
29-09-20,1.54,89,28,2,11135,1558560.946
30-09-20,1.51,260,47,0,11224,1571343.94
01-10-20,1.49,287,81,0,11484,1584231.777
02-10-20,1.49,317,121,1,11771,1597225.318
03-10-20,1.48,293,67,0,12088,1610325.429
04-10-20,1.49,432,57,0,12381,1623532.985
05-10-20,1.52,691,87,4,12813,1636848.866
06-10-20,1.55,489,74,0,13504,1650273.961
07-10-20,1.58,375,18,5,13993,1663809.166
08-10-20,1.58,354,188,6,14368,1677455.384
09-10-20,1.59,374,73,3,14722,1691213.525
10-10-20,1.6,561,133,2,15096,1705084.508
11-10-20,1.62,563,109,2,15657,1719069.258
12-10-20,1.63,660,350,4,16220,1733168.708
13-10-20,1.65,660,233,4,16880,1747383.798
14-10-20,1.69,589,409,3,17540,1761715.478
15-10-20,1.75,629,245,6,18129,1776164.703
16-10-20,1.77,869,302,4,18758,1790732.438
17-10-20,1.78,871,701,7,19627,1805419.654
18-10-20,1.77,865,455,3,20498,1820227.332
19-10-20,1.77,862,634,3,21363,1835156.46
20-10-20,1.75,732,580,6,22225,1850208.033
21-10-20,1.7,847,486,5,22957,1865383.055
22-10-20,1.64,710,467,10,23804,1880682.541
23-10-20,1.6,1228,671,7,24514,1896107.509
24-10-20,1.57,823,579,8,25742,1911658.99
25-10-20,1.55,1240,691,7,26565,1927338.021
26-10-20,1.53,835,674,2,27805,1943145.648
27-10-20,1.52,771,573,8,28640,1959082.926
28-10-20,1.49,679,685,0,29441,1975150.918
29-10-20,1.47,809,491,3,30090,1991350.696
30-10-20,1.45,649,1000,0,30889,2007683.342
31-10-20,1.43,957,972,0,31548,2024149.945
01-11-20,1.41,834,900,2,32505,2040751.603
02-11-20,1.39,1054,875,12,33339,2057489.425
03-11-20,1.36,1032,820,8,34393,2074364.527
04-11-20,1.33,1009,839,6,35425,2091378.035
05-11-20,1.31,1755,726,2,36434,2108531.084
06-11-20,1.29,1168,1029,3,38189,2125824.819
07-11-20,1.28,852,825,4,39357,2143260.393
08-11-20,1.25,972,1345,8,40209,2160838.971
09-11-20,1.23,869,725,6,41181,2178561.724
10-11-20,1.2,822,769,2,42050,2196429.836
11-11-20,1.18,919,996,1,42872,2214444.499
12-11-20,1.16,1304,900,1,43791,2232606.913
13-11-20,1.15,1114,803,2,45095,2250918.293
14-11-20,1.15,1208,1013,3,46209,2269379.858
15-11-20,1.15,1103,821,4,47417,2287992.841
16-11-20,1.15,1210,1018,5,48520,2306758.484
17-11-20,1.16,660,630,4,49730,2325678.039
18-11-20,1.16,1290,878,4,50390,2344752.769
19-11-20,1.16,958,956,3,51680,2363983.945
20-11-20,1.16,1041,1405,3,52638,2383372.851
21-11-20,1.14,1096,1104,3,53679,2402920.782
22-11-20,1.12,1884,883,2,54775,2422629.04
23-11-20,1.1,2188,1673,4,56659,2442498.941
24-11-20,1.09,970,2348,4,58847,2462531.811
25-11-20,1.09,935,2555,3,59817,2482728.987
26-11-20,1.09,1109,1148,2,60752,2503091.815
27-11-20,1.1,1315,1110,4,61861,2523621.656
28-11-20,1.1,1309,1333,3,63176,2544319.878
29-11-20,1.09,1212,2112,3,64485,2565187.862
30-11-20,1.09,1472,1552,3,65697,2586227.001
01-12-20,1.09,851,658,2,67169,2607438.699
02-12-20,1.08,1075,948,11,68020,2628824.371
03-12-20,1.09,1141,1144,0,69095,2650385.444
04-12-20,1.09,1123,1143,4,70236,2672123.356
05-12-20,1.1,1335,1069,2,71359,2694039.558
06-12-20,1.11,1600,1033,2,72694,2716135.512
07-12-20,1.12,1012,1750,4,74294,2738412.692
08-12-20,1.12,959,1068,5,75306,2760872.586
09-12-20,1.09,2234,1112,3,76265,2783516.691
10-12-20,1.07,1810,937,6,78499,2806346.518
11-12-20,1.07,1937,911,9,80309,2829363.59
12-12-20,1.06,1229,1309,4,82246,2852569.444
13-12-20,1.06,1371,1204,4,83475,2875965.627
14-12-20,1.06,1772,1084,3,84846,2899553.701
15-12-20,1.05,1295,1052,7,86618,2923335.24
16-12-20,1.04,1220,1297,3,87913,2947311.83
17-12-20,1.05,1683,1214,0,89133,2971485.071
18-12-20,1.05,1153,998,1,90816,2995856.575
19-12-20,1.06,1340,1067,4,91969,3020427.97
20-12-20,1.08,2018,1084,1,93309,3045200.894
21-12-20,1.08,2062,911,1,95327,3070177.001
22-12-20,1.09,1348,710,5,97389,3095357.956
23-12-20,1.1,1581,1085,2,98737,3120745.441
24-12-20,1.12,1247,1441,3,100318,3146341.148
25-12-20,1.12,2335,874,2,101565,3172146.786
26-12-20,1.11,1196,997,1,103900,3198164.077
27-12-20,1.1,1594,1181,3,105096,3224394.756
28-12-20,1.09,1925,1123,2,106690,3250840.573
29-12-20,1.08,1870,745,6,108615,3277503.294
30-12-20,1.07,2525,1481,8,110485,3304384.697
31-12-20,1.07,2068,2230,3,113010,3331486.575
01-01-21,1.07,2295,3321,9,115078,3358810.738
